Tip;secao;Data;Loja;Valores
FATURAMENTO;AÇOUGUE;31/01/2016;CENTRO;454548,02
FATURAMENTO;ALHO;31/01/2016;CENTRO;64585,64
FATURAMENTO;ALIMENTOS DOCE;31/01/2016;CENTRO;784353,45
FATURAMENTO;ALIMENTOS SALGADO;31/01/2016;CENTRO;592794,99
FATURAMENTO;AUTOS;31/01/2016;CENTRO;5013,11
FATURAMENTO;BASICO;31/01/2016;CENTRO;1165503,37
FATURAMENTO;BEBIDAS DEST E VINHO;31/01/2016;CENTRO;34434,37
FATURAMENTO;BEBIDAS REFRIGERADAS;31/01/2016;CENTRO;414063,22
FATURAMENTO;FRIOS;31/01/2016;CENTRO;337385,19
FATURAMENTO;FRIOS ACHOCOLATADOS;31/01/2016;CENTRO;13368,26
FATURAMENTO;FRIOS CONGELADOS;31/01/2016;CENTRO;625471,83
FATURAMENTO;FRIOS LATICINIOS;31/01/2016;CENTRO;187037,21
FATURAMENTO;HIGIENE;31/01/2016;CENTRO;508489,86
FATURAMENTO;HORT FRUT;31/01/2016;CENTRO;1030668,8
FATURAMENTO;LEITE;31/01/2016;CENTRO;266509,27
FATURAMENTO;LIMPEZA DOMESTICA;31/01/2016;CENTRO;629874,33
FATURAMENTO;OVOS;31/01/2016;CENTRO;67275,28
FATURAMENTO;PADARIA INDUSTRIAL;31/01/2016;CENTRO;74338,03
FATURAMENTO;PADARIA PROPRIA;31/01/2016;CENTRO;196957,35
FATURAMENTO;PAPEL HIGIENICO;31/01/2016;CENTRO;165548,66
FATURAMENTO;PAPELARIA;31/01/2016;CENTRO;20869,94
FATURAMENTO;PEIXES RESFRIADOS;31/01/2016;CENTRO;139040,41
FATURAMENTO;PET SHOP;31/01/2016;CENTRO;15756,95
FATURAMENTO;UTILIDADES DOMESTICA;31/01/2016;CENTRO;161644,12
FATURAMENTO;VESTUARIO;31/01/2016;CENTRO;37298,16
FATURAMENTO;GERAL;31/01/2016;CENTRO;7992829,82
FATURAMENTO;AÇOUGUE;31/01/2016;GARAVELO;513365,34
FATURAMENTO;ALHO;31/01/2016;GARAVELO;126951,32
FATURAMENTO;ALIMENTOS DOCE;31/01/2016;GARAVELO;1123924,71
FATURAMENTO;ALIMENTOS SALGADO;31/01/2016;GARAVELO;770045,67
FATURAMENTO;AUTOS;31/01/2016;GARAVELO;5274,74
FATURAMENTO;BASICO;31/01/2016;GARAVELO;1776964,21
FATURAMENTO;BEBIDAS DEST E VINHO;31/01/2016;GARAVELO;20173,83
FATURAMENTO;BEBIDAS REFRIGERADAS;31/01/2016;GARAVELO;437364,16
FATURAMENTO;FRIOS;31/01/2016;GARAVELO;374489,58
FATURAMENTO;FRIOS ACHOCOLATADOS;31/01/2016;GARAVELO;27405,29
FATURAMENTO;FRIOS CONGELADOS;31/01/2016;GARAVELO;740692,33
FATURAMENTO;FRIOS LATICINIOS;31/01/2016;GARAVELO;196418,44
FATURAMENTO;HIGIENE;31/01/2016;GARAVELO;712027,91
FATURAMENTO;HORT FRUT;31/01/2016;GARAVELO;1083582,71
FATURAMENTO;LEITE;31/01/2016;GARAVELO;369011,2
FATURAMENTO;LIMPEZA DOMESTICA;31/01/2016;GARAVELO;810940,8
FATURAMENTO;OVOS;31/01/2016;GARAVELO;80694,9
